DHSCLUST,Building count,Building area sum,Building area mean,Building area proportion,Residential count,Residential area sum,Residential area proportion,Residential area mean,Damaged count,Damaged area sum,Damaged area proportion,Damaged area mean,Industrial count,Industrial area sum,Industrial area proportion,Industrial area mean,Commercial count,Commercial area sum,Commercial area prop,Commercial area mean,Education count,Education area sum,Education area proportion,Education area mean,Health count,Health area sum,Health area proportion,Health area mean
1108,5660,4.437128599503449e-05,7.839449822444257e-09,0.006681639849185718,2816,1.2689056180009865e-05,3.3759339098029125e-07,4.506056882105775e-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,3.958591500054627e-08,1.0531865483537957e-09,7.917183000109252e-09,0,0.0,0.0,0.0
1109,2594,2.2047447870026456e-05,8.499401646116599e-09,0.0033200098432508603,483,2.735464840000408e-06,1.587969702691664e-07,5.6634882815743435e-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,9,1.856281050010925e-07,1.0775931110478393e-08,2.0625345000121392e-08,14,3.057228349991629e-07,1.7747572270005894e-08,2.1837345357083064e-08,0,0.0,0.0,0.0
1110,8456,6.282752446997698e-05,7.429934303450447e-09,0.00946086825545843,3559,1.4051753020001685e-05,2.5023415110397065e-07,3.9482306883960894e-09,0,0.0,0.0,0.0,7,1.1836114500122835e-07,2.107779762490645e-09,1.6908735000175476e-08,26,1.8049060550074646e-06,3.214183553143289e-08,6.941946365413326e-08,33,7.789066800032429e-07,1.3870799720318475e-08,2.3603232727371002e-08,6,4.079598299997933e-07,7.264964136446672e-09,6.799330499996555e-08
1111,1147,7.458258589997175e-06,6.5024050479487155e-09,0.0011231001464783684,478,1.869826390002403e-06,2.454815823004838e-07,3.9117706903815945e-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,9,1.0207694500083656e-07,1.340124950058739e-08,1.1341882777870729e-08,0,0.0,0.0,0.0
1113,8088,5.046450561503093e-05,6.239429477624991e-09,0.007599185917770804,4371,2.1856253089996984e-05,4.0692616487100855e-07,5.000286682680618e-09,0,0.0,0.0,0.0,1,5.4031989999611345e-08,1.0059835224434421e-09,5.4031989999611345e-08,24,4.0172590499911385e-07,7.479451357810345e-09,1.6738579374963076e-08,32,5.670238500055177e-07,1.0557017240010884e-08,1.771949531267243e-08,0,0.0,0.0,0.0
1114,4354,2.692311978999058e-05,6.183536929258286e-09,0.004054211772751704,2468,1.2109675119989661e-05,4.1881778362346203e-07,4.9066754943232006e-09,0,0.0,0.0,0.0,1,5.4031989999611345e-08,1.86871720935331e-09,5.4031989999611345e-08,6,8.403691499941032e-08,2.906449110637771e-09,1.4006152499901721e-08,25,4.967060900039552e-07,1.7178771657080595e-08,1.986824360015821e-08,0,0.0,0.0,0.0
1115,2034,1.773814846497882e-05,8.720820287600207e-09,0.002671094988043356,1218,9.085559215006821e-06,6.726385619927845e-07,7.459408222501492e-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,12,2.0821051499532414e-07,1.5414617645869014e-08,1.7350876249610347e-08,0,0.0,0.0,0.0
1116,3337,2.1170338585034916e-05,6.344123040166291e-09,0.0031879305442342365,1283,7.3756001250207655e-06,3.3282979940931486e-07,5.748714049119848e-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,8.485438999894184e-08,3.829121579753224e-09,8.485438999894184e-08,19,4.259228099999433e-07,1.9220104264496542e-08,2.2416989999997017e-08,0,0.0,0.0,0.0
1117,3302,2.078985183500751e-05,6.296139259541946e-09,0.0031306350348961755,1212,7.083100675012535e-06,3.2301849743608977e-07,5.8441424711324554e-09,0,0.0,0.0,0.0,1,1.5507939999176654e-08,7.072257908933663e-10,1.5507939999176654e-08,1,8.485438999894184e-08,3.869708876934133e-09,8.485438999894184e-08,42,5.165334450069846e-07,2.355604768830255e-08,1.2298415357309156e-08,0,0.0,0.0,0.0
1119,2131,1.9208708804986885e-05,9.013941250580428e-09,0.002892538977057548,1198,8.997553685007474e-06,6.358022255714807e-07,7.510478868954485e-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,12,2.0821051499532414e-07,1.471296681919173e-08,1.7350876249610347e-08,0,0.0,0.0,0.0
1120,2372,1.7102008159980785e-05,7.209952849907581e-09,0.002575301947201048,542,3.6148809950021753e-06,2.2948820378680892e-07,6.6695221310003225e-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,13,3.6542126999363534e-07,2.3198514969725424e-08,2.8109328461048877e-08,0,0.0,0.0,0.0
